alpha	n_selected	pct_faith_pd	total_faith_pd	selected_faith_pd	max_minimax_dist	mean_minimax_dist	pct_amr_covered	pct_replicons_covered	total_amr_features	covered_amr_features	total_replicon_types	covered_replicon_types	random_mean_faith_pd_pct	random_mean_amr_pct
0.0	20	55.57	0.20348	0.11307	0.01191	0.003628	95.4	100.0	87	83	0	0	31.95	58.71
0.1	20	53.5	0.20348	0.10886	0.01149	0.003547	93.1	100.0	87	81	0	0	33.27	60.76
0.2	20	55.42	0.20348	0.11277	0.0119	0.003408	94.25	100.0	87	82	0	0	30.89	59.49
0.3	20	58.16	0.20348	0.11834	0.01128	0.002918	94.25	100.0	87	82	0	0	32.37	61.25
0.4	20	57.05	0.20348	0.11608	0.01128	0.002972	94.25	100.0	87	82	0	0	30.66	61.1
0.5	20	56.72	0.20348	0.11541	0.01124	0.002955	90.8	100.0	87	79	0	0	33.08	60.82
0.6	20	60.01	0.20348	0.12211	0.01101	0.002748	86.21	100.0	87	75	0	0	30.96	61.24
0.7	20	62.64	0.20348	0.12747	0.01037	0.002507	83.91	100.0	87	73	0	0	29.9	59.76
0.8	20	65.28	0.20348	0.13284	0.01028	0.002344	74.71	100.0	87	65	0	0	33.7	59.86
0.9	20	66.97	0.20348	0.13627	0.0099	0.002283	65.52	100.0	87	57	0	0	31.69	60.38
1.0	20	70.15	0.20348	0.14275	0.00938	0.002165	52.87	100.0	87	46	0	0	31.05	59.17
