k	phylo_pct	amr_jaccard_div	rep_jaccard_div
2	11.03	0.07726567468993611	0.0933762816571302
3	20.85	0.23179702406980837	0.2801288449713906
4	30.09	0.46359404813961674	0.5469182211346199
5	35.96	0.7695661199117638	0.9070838789549793
6	40.85	1.149950979923757	1.3506212168263478
7	45.49	1.6049599530978251	1.8786755426766986
8	48.62	2.1210568986066374	2.49651527297471
9	51.23	2.707474924003148	3.199949928125091
10	53.77	3.3655209201124374	3.952244663256135
11	56.0	4.0954384022007915	4.78018102728269
12	58.22	4.894184857437015	5.684741860243397
13	60.43	5.761709413643356	6.6605947431677235
14	62.61	6.7060676598536855	7.711170417450776
15	64.72	7.723372602829192	8.823200413011147
16	66.8	8.814672747719644	9.993550161974472
17	68.84	9.96258094250075	11.226274624468548
18	70.82	11.172645699375332	12.529892092987534
19	72.78	12.4341837325821	13.885075625806603
20	74.71	13.765036579055137	15.302280951478163
21	76.57	15.16360661290702	16.779131944730832
22	78.41	16.63862305143277	18.31980773725263
23	80.11	18.17837887963109	19.932755904793883
24	81.8	19.772852038723983	21.585997793165383
25	83.42	21.42955615625776	23.32083069279128
26	84.96	23.151841559025442	25.09324653521835
27	86.25	24.942503130672257	26.92974442917106
28	87.44	26.800650624019163	28.83046274443075
29	88.36	28.713410245978892	30.793360138043457
30	89.03	30.672554245068618	32.78639130877558
