solution_id	minimax_dist	pct_amr_covered	pct_rep_covered	is_recommended	selected_samples
0	0.0032600000000000003	91.95	92.5	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES046;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IL075;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
1	0.0034200000000000003	86.21	95.0	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES046;EuSCAPE_ES085;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IL075;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
2	0.04902	98.85	80.0	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE072;EuSCAPE_DE075;EuSCAPE_ES046;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_FR056;EuSCAPE_GR073;EuSCAPE_GR075;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IT062;EuSCAPE_IT152;EuSCAPE_IT266;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
3	0.01037	97.7	97.5	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR073;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IT062;EuSCAPE_IT266;EuSCAPE_LU008
4	0.0034200000000000003	79.31	97.5	False	EuSCAPE_BE078;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES046;EuSCAPE_ES085;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IE024;EuSCAPE_IL046;EuSCAPE_IL075;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
5	0.00964	96.55	95.0	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IT266;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
6	0.00365	79.31	100.0	False	EuSCAPE_BE078;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IE024;EuSCAPE_IL046;EuSCAPE_IL075;EuSCAPE_IT062;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
7	0.00365	86.21	97.5	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE072;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IE024;EuSCAPE_IL046;EuSCAPE_IL075;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
8	0.00964	91.95	100.0	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IE024;EuSCAPE_IL046;EuSCAPE_IT062;EuSCAPE_IT266;EuSCAPE_IT312;EuSCAPE_LU018
9	0.00964	94.25	97.5	False	EuSCAPE_BE078;EuSCAPE_BE092;EuSCAPE_CZ007;EuSCAPE_DE019;EuSCAPE_DE073;EuSCAPE_DE075;EuSCAPE_ES085;EuSCAPE_ES094;EuSCAPE_ES220;EuSCAPE_FR056;EuSCAPE_GR075;EuSCAPE_GR153;EuSCAPE_HU025;EuSCAPE_IE008;EuSCAPE_IL046;EuSCAPE_IT062;EuSCAPE_IT266;EuSCAPE_IT312;EuSCAPE_LU008;EuSCAPE_LU018
